Strong
ENSG00000128274	A4GALT	A14GALT,Gb3S,P(k)	alpha 1,4-galactosyltransferase
ENSG00000126952	NXF5		nuclear RNA export factor 5
ENSG00000089127	OAS1	IFI-4,OIAS,OIASI	2',5'-oligoadenylate synthetase 1, 40/46kDa
ENSG00000154358	OBSCN	ARHGEF30,KIAA1556,KIAA1639,UNC89	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
ENSG00000177468	OLIG3	Bhlhb7,bHLHe20	oligodendrocyte transcription factor 3
ENSG00000197430	OPALIN	HTMP10,TMEM10,TMP10	oligodendrocytic myelin paranodal and inner loop protein
ENSG00000082556	OPRK1	KOR	opioid receptor, kappa 1
ENSG00000123240	OPTN	FIP2,GLC1E,HIP7,HYPL,NRP,TFIIIA-INTP	optineurin
ENSG00000081087	OSTM1	GL,HSPC019	osteopetrosis associated transmembrane protein 1
ENSG00000155463	OXA1L	MGC133129,OXA1	oxidase (cytochrome c) assembly 1-like
ENSG00000151093	OXSM	FASN2D,FLJ20604,KS	3-oxoacyl-ACP synthase, mitochondrial
ENSG00000172939	OXSR1	KIAA1101,OSR1	oxidative-stress responsive 1
ENSG00000244165	P2RY11	P2Y11	purinergic receptor P2Y, G-protein coupled, 11
ENSG00000169313	P2RY12	HORK3,P2Y12,SP1999	purinergic receptor P2Y, G-protein coupled, 12
ENSG00000170515	PA2G4		proliferation-associated 2G4, 38kDa
ENSG00000174740	PABPC5	PABP5	poly(A) binding protein, cytoplasmic 5
ENSG00000100836	PABPN1	OPMD,PAB2,PABP2	poly(A) binding protein, nuclear 1
ENSG00000122133	PAEP	GD,GdA,GdF,GdS,MGC138509,MGC142288,PAEG,PEP,PP14	progestagen-associated endometrial protein
ENSG00000007168	PAFAH1B1	LIS1,MDCR,MDS,PAFAH	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)
ENSG00000149269	PAK1		p21 protein (Cdc42/Rac)-activated kinase 1
ENSG00000152782	PANK1	MGC24596,PANK,PANK1a,PANK1b	pantothenate kinase 1
ENSG00000125779	PANK2	C20orf48,FLJ11729,HARP,HSS,NBIA1,PKAN	pantothenate kinase 2
ENSG00000120137	PANK3	FLJ12899	pantothenate kinase 3
ENSG00000157881	PANK4	FLJ10782	pantothenate kinase 4
ENSG00000116183	PAPPA2	PAPP-A2,PAPPE,PLAC3	pappalysin 2
ENSG00000124171	PARD6B	PAR-6B	par-6 partitioning defective 6 homolog beta (C. elegans)
ENSG00000227345	PARG		poly (ADP-ribose) glycohydrolase
ENSG00000116288	PARK7	DJ-1,DJ1	Parkinson disease (autosomal recessive, early onset) 7
ENSG00000175193	PARL	PRO2207,PSARL,PSARL1,RHBDS1	presenilin associated, rhomboid-like
ENSG00000173193	PARP14	KIAA1268,pART8	poly (ADP-ribose) polymerase family, member 14
ENSG00000197702	PARVA	FLJ10793,FLJ12254,MXRA2	parvin, alpha
ENSG00000106331	PAX4	MODY9	paired box 4
ENSG00000157212	PAXIP1	CAGF28,CAGF29,PAXIP1L,PTIP,TNRC2	PAX interacting (with transcription-activation domain) protein 1
ENSG00000168078	PBK	CT84,FLJ14385,Nori-3,SPK,TOPK	PDZ binding kinase
ENSG00000185630	PBX1		pre-B-cell leukemia homeobox 1
ENSG00000167081	PBX3		pre-B-cell leukemia homeobox 3
ENSG00000163346	PBXIP1	HPIP	pre-B-cell leukemia homeobox interacting protein 1
ENSG00000138650	PCDH10	KIAA1400,OL-PCDH	protocadherin 10
ENSG00000165194	PCDH19	KIAA1313	protocadherin 19
ENSG00000113209	PCDHB5	DKFZp586B0217,PCDH-BETA5	protocadherin beta 5
ENSG00000115289	PCGF1	MGC10882,NSPC1,RNF68	polycomb group ring finger 1
ENSG00000124253	PCK1	PEPCK-C	phosphoenolpyruvate carboxykinase 1 (soluble)
ENSG00000160299	PCNT	KEN,KIAA0402,PCN,PCNT2,PCNTB,SCKL4	pericentrin
ENSG00000185813	PCYT2	ET	phosphate cytidylyltransferase 2, ethanolamine
ENSG00000170248	PDCD6IP	AIP1,Alix,Hp95	programmed cell death 6 interacting protein
ENSG00000115539	PDCL3	VIAF1	phosducin-like 3
ENSG00000115252	PDE1A		phosphodiesterase 1A, calmodulin-dependent
ENSG00000178104	PDE4DIP	CMYA2,KIAA0454,KIAA0477,MMGL	phosphodiesterase 4D interacting protein
ENSG00000138735	PDE5A		phosphodiesterase 5A, cGMP-specific
ENSG00000171408	PDE7B		phosphodiesterase 7B
ENSG00000167004	PDIA3	ERp57,ERp60,ERp61,GRP57,GRP58,HsT17083,P58,PI-PLC	protein disulfide isomerase family A, member 3
ENSG00000155660	PDIA4	ERP70,ERP72	protein disulfide isomerase family A, member 4
ENSG00000107438	PDLIM1	CLIM1,CLP-36,CLP36,hCLIM1	PDZ and LIM domain 1
ENSG00000163110	PDLIM5	Enh,LIM	PDZ and LIM domain 5
ENSG00000196923	PDLIM7	ENIGMA	PDZ and LIM domain 7 (enigma)
ENSG00000172840	PDP2	KIAA1348,PPM2C2	pyruvate dehyrogenase phosphatase catalytic subunit 2
ENSG00000140992	PDPK1	PDK1	3-phosphoinositide dependent protein kinase-1
ENSG00000162493	PDPN	aggrus,Gp38,GP40,PA2.26,T1A-2	podoplanin
ENSG00000174827	PDZK1	NHERF3,PDZD1	PDZ domain containing 1
ENSG00000178921	PFAS	FGARAT,KIAA0361,PURL	phosphoribosylformylglycinamidine synthase
ENSG00000123349	PFDN5	MM-1,PFD5	prefoldin subunit 5
ENSG00000170525	PFKFB3		6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ENSG00000152556	PFKM	PFK-1,PFKX	phosphofructokinase, muscle
ENSG00000185220	PGBD2		piggyBac transposable element derived 2
ENSG00000013375	PGM3	AGM1,DKFZP434B187,PAGM	phosphoglucomutase 3
ENSG00000101856	PGRMC1	HPR6.6	progesterone receptor membrane component 1
ENSG00000167085	PHB	PHB1	prohibitin
ENSG00000197724	PHF2	JHDM1E,KIAA0662	PHD finger protein 2
ENSG00000107537	PHYH	PAHX,PHYH1,RD	phytanoyl-CoA 2-hydroxylase
ENSG00000124102	PI3	cementoin,ELAFIN,ESI,SKALP,WAP3,WFDC14	peptidase inhibitor 3, skin-derived
ENSG00000038210	PI4K2B	FLJ11105,PI4KIIB,PIK42B	phosphatidylinositol 4-kinase type 2 beta
ENSG00000143393	PI4KB	PI4K-BETA,pi4K92,PIK4CB	phosphatidylinositol 4-kinase, catalytic, beta
ENSG00000105229	PIAS4	FLJ12419,Piasg,PIASY,ZMIZ6	protein inhibitor of activated STAT, 4
ENSG00000174227	PIGG	FLJ20265,GPI7,LAS21	phosphatidylinositol glycan anchor biosynthesis, class G
ENSG00000117461	PIK3R3	p55	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)
ENSG00000102096	PIM2		pim-2 oncogene
ENSG00000087842	PIR		pirin (iron-binding nuclear protein)
ENSG00000090975	PITPNM2	NIR3,RDGB2,RDGBA2	phosphatidylinositol transfer protein, membrane-associated 2
ENSG00000107959	PITRM1	hMP1,KIAA1104,MP1,PreP	pitrilysin metallopeptidase 1
ENSG00000069011	PITX1	BFT,POTX,PTX1	paired-like homeodomain 1
ENSG00000143627	PKLR		pyruvate kinase, liver and RBC
ENSG00000123143	PKN1	DBK,MGC46204,PAK1,PKN,PRK1,PRKCL1	protein kinase N1
ENSG00000137055	PLAA	DOA1,FLJ11281,FLJ12699,PLA2P,PLAP	phospholipase A2-activating protein
ENSG00000126003	PLAGL2		pleiomorphic adenoma gene-like 2
ENSG00000122861	PLAU	UPA,URK	plasminogen activator, urokinase
ENSG00000138193	PLCE1	KIAA1516,NPHS3,PLCE	phospholipase C, epsilon 1
ENSG00000197943	PLCG2		phospholipase C, gamma 2 (phosphatidylinositol-specific)
ENSG00000182378	PLCXD1	FLJ11323	phosphatidylinositol-specific phospholipase C, X domain containing 1
ENSG00000105223	PLD3	HU-K4	phospholipase D family, member 3
ENSG00000107679	PLEKHA1	TAPP1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
ENSG00000169499	PLEKHA2	TAPP2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
ENSG00000122194	PLG		plasminogen
ENSG00000166819	PLIN1	PLIN	perilipin 1
ENSG00000105355	PLIN3	M6PRBP1,PP17,TIP47	perilipin 3
ENSG00000106397	PLOD3	LH3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3
ENSG00000161381	PLXDC1	TEM3,TEM7	plexin domain containing 1
ENSG00000122512	PMS2	HNPCC4,H_DJ0042M02.9,PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)
ENSG00000127838	PNKD	BRP17,DKFZp564N1362,DYT8,FKSG19,FPD1,KIAA1184,KIPP1184,MGC31943,MR-1,PDC,TAHCCP2	paroxysmal nonkinesigenic dyskinesia
ENSG00000198805	PNP	NP,PUNP	purine nucleoside phosphorylase
ENSG00000006757	PNPLA4	DXS1283E,GS2	patatin-like phospholipase domain containing 4
ENSG00000108439	PNPO	PDXPO	pyridoxamine 5'-phosphate oxidase
ENSG00000143442	POGZ	KIAA0461,SUHW5,ZNF280E,ZNF635m	pogo transposable element with ZNF domain
ENSG00000070501	POLB		polymerase (DNA directed), beta
ENSG00000170734	POLH	RAD30A,XP-V	polymerase (DNA directed), eta
ENSG00000068654	POLR1A	DKFZP586M0122,FLJ21915,RPA1,RPO1-4	polymerase (RNA) I polypeptide A, 194kDa
ENSG00000161980	POLR3K	RPC11	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa
ENSG00000099821	POLRMT	APOLMT,h-mtRPOL,MTRNAP,MTRPOL	polymerase (RNA) mitochondrial (DNA directed)
ENSG00000009830	POMT2		protein-O-mannosyltransferase 2
ENSG00000005421	PON1	ESA,PON	paraoxonase 1
ENSG00000105852	PON3		paraoxonase 3
ENSG00000121577	POPDC2	POP2	popeye domain containing 2
ENSG00000127948	POR	CYPOR,FLJ26468	P450 (cytochrome) oxidoreductase
ENSG00000133110	POSTN	OSF-2,periostin,PN	periostin, osteoblast specific factor
ENSG00000143190	POU2F1	OCT1,OTF1	POU class 2 homeobox 1
ENSG00000243207	PPAN-P2RY11		PPAN-P2RY11 readthrough
ENSG00000110841	PPFIBP1	hSGT2,hSgt2p,L2,SGT2	PTPRF interacting protein, binding protein 1 (liprin beta 1)
ENSG00000196262	PPIA	CYPA	peptidylprolyl isomerase A (cyclophilin A)
ENSG00000166794	PPIB	CYPB,LRG_10,OI9	peptidylprolyl isomerase B (cyclophilin B)
ENSG00000171497	PPID	CYP-40	peptidylprolyl isomerase D
ENSG00000138032	PPM1B	PP2CB,PP2CBETA,PPC2BETAX	protein phosphatase, Mg2+/Mn2+ dependent, 1B
ENSG00000172531	PPP1CA	PP-1A,PP1alpha,PPP1A	protein phosphatase 1, catalytic subunit, alpha isozyme
ENSG00000088808	PPP1R13B	ASPP1,KIAA0771,p53BP2-like,p85	protein phosphatase 1, regulatory (inhibitor) subunit 13B
ENSG00000119938	PPP1R3C	PPP1R5	protein phosphatase 1, regulatory (inhibitor) subunit 3C
ENSG00000113575	PPP2CA	PP2Calpha	protein phosphatase 2, catalytic subunit, alpha isozyme
ENSG00000104695	PPP2CB	PP2Abeta	protein phosphatase 2, catalytic subunit, beta isozyme
ENSG00000137713	PPP2R1B	PP2A-Abeta,PR65B	protein phosphatase 2, regulatory subunit A, beta
ENSG00000154001	PPP2R5E		protein phosphatase 2, regulatory subunit B', epsilon isoform
ENSG00000138814	PPP3CA	CALN,CALNA,CNA1,PPP2B	protein phosphatase 3, catalytic subunit, alpha isozyme
ENSG00000120910	PPP3CC	CALNA3,PP2Bgamma	protein phosphatase 3, catalytic subunit, gamma isozyme
ENSG00000243279	PRAF2	JM4	PRA1 domain family, member 2
ENSG00000117450	PRDX1	NKEFA,PAGA	peroxiredoxin 1
ENSG00000139174	PRICKLE1	FLJ31937	prickle homolog 1 (Drosophila)
ENSG00000111725	PRKAB1		protein kinase, AMP-activated, beta 1 non-catalytic subunit
ENSG00000072062	PRKACA	PKACa	protein kinase, cAMP-dependent, catalytic, alpha
ENSG00000165059	PRKACG	PKACg	protein kinase, cAMP-dependent, catalytic, gamma
ENSG00000114302	PRKAR2A	PRKAR2	protein kinase, cAMP-dependent, regulatory, type II, alpha
ENSG00000154229	PRKCA	PKCA	protein kinase C, alpha
ENSG00000171132	PRKCE		protein kinase C, epsilon
ENSG00000067606	PRKCZ	PKC2	protein kinase C, zeta
ENSG00000105287	PRKD2	DKFZP586E0820,HSPC187,PKD2	protein kinase D2
ENSG00000126457	PRMT1	ANM1,HCP1,HRMT1L2	protein arginine methyltransferase 1
ENSG00000160310	PRMT2	HRMT1L1,MGC111373	protein arginine methyltransferase 2
ENSG00000100462	PRMT5	HRMT1L5,SKB1,SKB1Hs	protein arginine methyltransferase 5
ENSG00000147471	PROSC		proline synthetase co-transcribed homolog (bacterial)
ENSG00000185246	PRPF39	FLJ11128,FLJ20666	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)
ENSG00000106772	PRUNE2	A214N16.3,bA214N16.3,BMCC1,BNIPXL,C9orf65,KIAA0367	prune homolog 2 (Drosophila)
ENSG00000197746	PSAP	GLBA,SAP1	prosaposin
ENSG00000106588	PSMA2	HC3,MU,PMSA2	proteasome (prosome, macropain) subunit, alpha type, 2
ENSG00000100567	PSMA3	HC8	proteasome (prosome, macropain) subunit, alpha type, 3
ENSG00000100902	PSMA6	IOTA,MGC22756,MGC2333,MGC23846,p27K,PROS27	proteasome (prosome, macropain) subunit, alpha type, 6
ENSG00000159377	PSMB4	HN3,PROS26	proteasome (prosome, macropain) subunit, beta type, 4
ENSG00000013275	PSMC4	MGC13687,MGC23214,MGC8570,MIP224,S6,TBP-7,TBP7	proteasome (prosome, macropain) 26S subunit, ATPase, 4
ENSG00000099341	PSMD8	HIP6,HYPF,Nin1p,p31,Rpn12,S14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8
ENSG00000157778	PSMG3	C7orf48,MGC10911,PAC3	proteasome (prosome, macropain) assembly chaperone 3
ENSG00000188647	PTAR1		protein prenyltransferase alpha subunit repeat containing 1
ENSG00000171522	PTGER4	EP4	prostaglandin E receptor 4 (subtype EP4)
ENSG00000124212	PTGIS	CYP8A1,PGIS	prostaglandin I2 (prostacyclin) synthase
ENSG00000095303	PTGS1	COX1,PGHS-1,PTGHS	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
ENSG00000073756	PTGS2	COX2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
ENSG00000169398	PTK2	FADK,FAK,FAK1	PTK2 protein tyrosine kinase 2
ENSG00000196396	PTPN1	PTP1B	protein tyrosine phosphatase, non-receptor type 1
ENSG00000111679	PTPN6	HCP,HCPH,PTP-1C,SHP-1,SHP1	protein tyrosine phosphatase, non-receptor type 6
ENSG00000153233	PTPRR	EC-PTP,PCPTP1,PTP-SL,PTPBR7,PTPRQ	protein tyrosine phosphatase, receptor type, R
ENSG00000141378	PTRH2	BIT1,CGI-147,PTH2	peptidyl-tRNA hydrolase 2
ENSG00000164611	PTTG1	EAP1,HPTTG,PTTG,securin,TUTR1	pituitary tumor-transforming 1
ENSG00000250254	PTTG2		pituitary tumor-transforming 2
ENSG00000213005	PTTG3P	PTTG3	pituitary tumor-transforming 3 (pseudogene)
ENSG00000073008	PVR	CD155,HVED,Necl-5,NECL5,PVS,Tage4	poliovirus receptor
ENSG00000143217	PVRL4	LNIR,nectin-4,PRR4	poliovirus receptor-related 4
ENSG00000089159	PXN		paxillin
ENSG00000103490	PYCARD	ASC,CARD5,TMS-1	PYD and CARD domain containing
ENSG00000100504	PYGL		phosphorylase, glycogen, liver
ENSG00000090565	RAB11FIP3	eferin,KIAA0665,Rab11-FIP3	RAB11 family interacting protein 3 (class II)
ENSG00000143545	RAB13		RAB13, member RAS oncogene family
ENSG00000138069	RAB1A	RAB1,YPT1	RAB1A, member RAS oncogene family
ENSG00000144566	RAB5A	RAB5	RAB5A, member RAS oncogene family
ENSG00000111540	RAB5B		RAB5B, member RAS oncogene family
ENSG00000108774	RAB5C	RAB5CL,RABL	RAB5C, member RAS oncogene family
ENSG00000123595	RAB9A	RAB9	RAB9A, member RAS oncogene family
ENSG00000029725	RABEP1	neurocrescin,RAB5EP,rabaptin-5,RABPT5	rabaptin, RAB GTPase binding effector protein 1
ENSG00000152942	RAD17	CCYC,RAD17Sp,Rad24	RAD17 homolog (S. pombe)
ENSG00000113522	RAD50	hRad50,RAD50-2	RAD50 homolog (S. cerevisiae)
ENSG00000132155	RAF1	c-Raf,CRAF,Raf-1	v-raf-1 murine leukemia viral oncogene homolog 1
ENSG00000116191	RALGPS2	FLJ10244,FLJ25604,KIAA0351	Ral GEF with PH domain and SH3 binding motif 2
ENSG00000077092	RARB	HAP,NR1B2,RRB2	retinoic acid receptor, beta
ENSG00000113643	RARS	DALRD1	arginyl-tRNA synthetase
ENSG00000162521	RBBP4	NURF55,RbAp48	retinoblastoma binding protein 4
ENSG00000171174	RBKS	DKFZp686G13268,RBSK	ribokinase
ENSG00000119707	RBM25	fSAP94,NET52,RNPC7,S164,Snu71	RNA binding motif protein 25
ENSG00000102317	RBM3	IS1-RNPL	RNA binding motif (RNP1, RRM) protein 3
ENSG00000155636	RBM45	DRB1,FLJ44612	RNA binding motif protein 45
ENSG00000135870	RC3H1	KIAA2025,RNF198,roquin,RP5-1198E17.5	ring finger and CCCH-type zinc finger domains 1
ENSG00000180198	RCC1	CHC1	regulator of chromosome condensation 1
ENSG00000137710	RDX	DFNB24	radixin
ENSG00000143839	REN		renin
ENSG00000080298	RFX3		regulatory factor X, 3 (influences HLA class II expression)
ENSG00000242732	RGAG4	KIAA2001,Mar5,Mart5	retrotransposon gag domain containing 4
ENSG00000148908	RGS10		regulator of G-protein signaling 10
ENSG00000182901	RGS7		regulator of G-protein signaling 7
ENSG00000126858	RHOT1	ARHT1,FLJ11040,MIRO-1	ras homolog gene family, member T1
ENSG00000135249	RINT1	FLJ11785,RINT-1	RAD50 interactor 1
ENSG00000104312	RIPK2	CARD3,CARDIAK,RICK,RIP2	receptor-interacting serine-threonine kinase 2
ENSG00000183421	RIPK4	ANKK2,ANKRD3,DIK,RIP4	receptor-interacting serine-threonine kinase 4
ENSG00000173464	RNASE11	C14orf6	ribonuclease, RNase A family, 11 (non-active)
ENSG00000135828	RNASEL	PRCA1,RNS4	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)
ENSG00000113269	RNF130	G1RZFP,GOLIATH,GP	ring finger protein 130
ENSG00000013561	RNF14	ARA54,HFB30,TRIAD2	ring finger protein 14
ENSG00000034677	RNF19A	DKFZp566B1346,dorfin,RNF19	ring finger protein 19A
ENSG00000173821	RNF213	C17orf27,KIAA1554,KIAA1618,NET57	ring finger protein 213
ENSG00000181852	RNF41	SBBI03	ring finger protein 41
ENSG00000111880	RNGTT	hCAP,HCE,HCE1	RNA guanylyltransferase and 5'-phosphatase
ENSG00000116586	ROBLD3	ENDAP,MAPBPIP,MAPKSP1AP,p14	roadblock domain containing 3
ENSG00000067900	ROCK1	p160ROCK	Rho-associated, coiled-coil containing protein kinase 1
ENSG00000134318	ROCK2		Rho-associated, coiled-coil containing protein kinase 2
ENSG00000250588	RP11-192K2.3		Putative uncharacterized protein IQCJ 
ENSG00000250644	RP11-295K3.1		
ENSG00000198832	RP3-412A9.11		Selenoprotein M Precursor (SelM)
ENSG00000132383	RPA1	HSSB,REPA1,RF-A,RP-A,RPA70	replication protein A1, 70kDa
ENSG00000147403	RPL10	DXS648,DXS648E,FLJ23544,NOV,QM,RNU70,SNORA70,U70	small nucleolar RNA, H/ACA box 70
ENSG00000165496	RPL10L		ribosomal protein L10-like
ENSG00000197958	RPL12		ribosomal protein L12
ENSG00000188846	RPL14	CTG-B33,hRL14,L14,RL14	ribosomal protein L14
ENSG00000125691	RPL23	rpL17,RPL23P8	ribosomal protein L23 pseudogene 8
ENSG00000131469	RPL27		ribosomal protein L27
ENSG00000100316	RPL3	RNU43,SNORD43,U43	small nucleolar RNA, C/D box 43
ENSG00000156482	RPL30		ribosomal protein L30
ENSG00000136942	RPL35		ribosomal protein L35
ENSG00000163682	RPL9		ribosomal protein L9
ENSG00000163902	RPN1	OST1	ribophorin I
ENSG00000118705	RPN2	RIBIIR,RPN-II,RPNII,SWP1	ribophorin II
ENSG00000112306	RPS12		ribosomal protein S12
ENSG00000008988	RPS20		ribosomal protein S20
ENSG00000171858	RPS21		ribosomal protein S21
ENSG00000213741	RPS29		ribosomal protein S29
ENSG00000162302	RPS6KA4	MSK2,RSK-B	ribosomal protein S6 kinase, 90kDa, polypeptide 4
ENSG00000175634	RPS6KB2	KLS,P70-BETA,p70S6Kb,STK14B	ribosomal protein S6 kinase, 70kDa, polypeptide 2
ENSG00000155876	RRAGA	FIP-1,RAGA	Ras-related GTP binding A
ENSG00000083750	RRAGB		Ras-related GTP binding B
ENSG00000136444	RSAD1	FLJ11164	radical S-adenosyl methionine domain containing 1
ENSG00000137996	RTCD1	RPC	RNA terminal phosphate cyclase domain 1
ENSG00000133318	RTN3	ASYIP,HAP,NSPL2,NSPLII,RTN3-A1	reticulon 3
ENSG00000198863	RUNDC1	DKFZp761H0421	RUN domain containing 1
ENSG00000159216	RUNX1	AML1,AMLCR1,CBFA2,PEBP2A2	runt-related transcription factor 1
ENSG00000124813	RUNX2	AML3,CBFA1,CCD,CCD1,PEBP2A1,PEBP2aA1	runt-related transcription factor 2
ENSG00000175792	RUVBL1	ECP54,INO80H,NMP238,Pontin52,RVB1,TIH1,TIP49,TIP49a	RuvB-like 1 (E. coli)
ENSG00000186350	RXRA	NR2B1	retinoid X receptor, alpha
ENSG00000189171	S100A13		S100 calcium binding protein A13
ENSG00000196154	S100A4	18A2,42A,CAPL,FSP1,MTS1,P9KA,PEL98	S100 calcium binding protein A4
ENSG00000179134	SAMD4B	FLJ10211,hSmaug2,MGC99832,SMGB	sterile alpha motif domain containing 4B
ENSG00000155307	SAMSN1	NASH1,SASH2,SH3D6B	SAM domain, SH3 domain and nuclear localization signals 1
ENSG00000150459	SAP18	2HOR0202,MGC27131,SAP18p	Sin3A-associated protein, 18kDa
ENSG00000079332	SAR1A	SAR1,Sara,SARA1	SAR1 homolog A (S. cerevisiae)
ENSG00000152700	SAR1B	SARA2	SAR1 homolog B (S. cerevisiae)
ENSG00000141504	SAT2	SSAT2	spermidine/spermine N1-acetyltransferase family member 2
ENSG00000140497	SCAMP2		secretory carrier membrane protein 2
ENSG00000099194	SCD	FADS5,SCDOS	stearoyl-CoA desaturase (delta-9-desaturase)
ENSG00000092108	SCFD1	C14orf163,KIAA0917,RA410,SLY1,STXBP1L2	sec1 family domain containing 1
ENSG00000171951	SCG2	CHGC,SgII,SN	secretogranin II
ENSG00000151967	SCHIP1	SCHIP-1	schwannomin interacting protein 1
ENSG00000102098	SCML2		sex comb on midleg-like 2 (Drosophila)
ENSG00000177098	SCN4B		sodium channel, voltage-gated, type IV, beta
ENSG00000111319	SCNN1A	ENaCalpha,SCNN1	sodium channel, nonvoltage-gated 1 alpha
ENSG00000168447	SCNN1B	ENaCbeta	sodium channel, nonvoltage-gated 1, beta
ENSG00000133028	SCO1	SCOD1	SCO cytochrome oxidase deficient homolog 1 (yeast)
ENSG00000115884	SDC1	CD138,SDC,SYND1,syndecan	syndecan 1
ENSG00000124145	SDC4	amphiglycan,ryudocan,SYND4	syndecan 4
ENSG00000137575	SDCBP	SYCL	syndecan binding protein (syntenin)
ENSG00000165525	SDCCAG1	FLJ10051,NY-CO-1	serologically defined colon cancer antigen 1
ENSG00000128228	SDF2L1	AP000553.C22.4,OTTHUMT00000075032	stromal cell-derived factor 2-like 1
ENSG00000117118	SDHB	SDH,SDH1	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)
ENSG00000139410	SDSL	SDS-RS1	serine dehydratase-like
ENSG00000101310	SEC23B	CDA-II,CDAII,CDAN2,HEMPAS	Sec23 homolog B (S. cerevisiae)
ENSG00000079387	SENP1		SUMO1/sentrin specific peptidase 1
ENSG00000124570	SERPINB6	CAP,PI6,PTI	serpin peptidase inhibitor, clade B (ovalbumin), member 6
ENSG00000167711	SERPINF2	A2AP,AAP,ALPHA-2-PI,API,PLI	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2
ENSG00000119335	SET	2PP2A,IPP2A2,PHAPII	SET nuclear oncogene
ENSG00000183576	SETD3	C14orf154,FLJ23027	SET domain containing 3
ENSG00000106483	SFRP4	FRP-4,frpHE	secreted frizzled-related protein 4
ENSG00000168484	SFTPC	PSP-C,SFTP2,SMDP2,SP-C	surfactant protein C
ENSG00000107819	SFXN3	SFX3	sideroflexin 3
ENSG00000108823	SGCA	A2,adhalin,ADL,DMDA2,LGMD2D,SCARMD1	sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)
ENSG00000163069	SGCB	A3b,LGMD2E,SGC	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
ENSG00000102683	SGCG	A4,DAGA4,DMDA,DMDA1,LGMD2C,MAM,MGC130048,SCARMD2,SCG3,TYPE	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)
ENSG00000164023	SGMS2	MGC26963,SMS2	sphingomyelin synthase 2
ENSG00000166224	SGPL1	SPL	sphingosine-1-phosphate lyase 1
ENSG00000111252	SH2B3	IDDM20,LNK	SH2B adaptor protein 3
ENSG00000104611	SH2D4A	FLJ20967,SH2A	SH2 domain containing 4A
ENSG00000097033	SH3GLB1	Bif-1,CGI-61,KIAA0491	SH3-domain GRB2-like endophilin B1
ENSG00000147010	SH3KBP1	CIN85	SH3-domain kinase binding protein 1
ENSG00000160691	SHC1	p66,SHC	SHC (Src homology 2 domain containing) transforming protein 1
ENSG00000176974	SHMT1	CSHMT,MGC15229,MGC24556,SHMT	serine hydroxymethyltransferase 1 (soluble)
ENSG00000197417	SHPK	CARKL,SHK	sedoheptulokinase
ENSG00000158352	SHROOM4	KIAA1202	shroom family member 4
ENSG00000147955	SIGMAR1	OPRS1,SR-BP1	sigma non-opioid intracellular receptor 1
ENSG00000120725	SIL1	BAP,MSS,ULG5	SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)
ENSG00000096717	SIRT1	SIR2L1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)
ENSG00000126778	SIX1	DFNA23	SIX homeobox 1
ENSG00000158296	SLC13A3	NADC3,SDCT2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3
ENSG00000155380	SLC16A1	MCT,MCT1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)
ENSG00000004864	SLC25A13	ARALAR2,CITRIN,CTLN2	solute carrier family 25, member 13 (citrin)
ENSG00000114120	SLC25A36	FLJ10618	solute carrier family 25, member 36
ENSG00000143554	SLC27A3	ACSVL3,FATP3,MGC4365	solute carrier family 27 (fatty acid transporter), member 3
ENSG00000167114	SLC27A4	ACSVL4,FATP4	solute carrier family 27 (fatty acid transporter), member 4
ENSG00000112759	SLC29A1	ENT1	solute carrier family 29 (nucleoside transporters), member 1
ENSG00000174669	SLC29A2	DER12,ENT2,HNP36	solute carrier family 29 (nucleoside transporters), member 2
ENSG00000059804	SLC2A3	GLUT3	solute carrier family 2 (facilitated glucose transporter), member 3
ENSG00000088836	SLC4A11	BTR1,CHED2,dJ794I6.2,NaBC1	solute carrier family 4, sodium borate transporter, member 11
ENSG00000103546	SLC6A2	NAT1,NET1,SLC6A5	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
ENSG00000142319	SLC6A3	DAT,DAT1	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
